sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
115.75.124.167,43695,150.57.248.121,80,,1,1,0,0,0,1,0,0.0594,0,0,0,0.9901,0,0
150.57.248.121,80,124.86.88.46,54494,,0,0,1,0.7822,0,0,1,0,0.5248,0,0,0,0,1
124.86.88.46,54494,150.57.248.121,80,,0,1,0,0,0.7822,1,0,0.5248,0,0,0,1,0,0
150.57.248.121,80,133.150.148.170,63255,,0,0,1,0.505,0,0,1,0,0.3069,0,0,0,0.0198,0.8515
133.150.148.170,63255,150.57.248.121,80,,0,1,0,0,0.505,1,0,0.3069,0,0,0.0198,0.8515,0,0
150.57.248.121,80,52.14.92.251,55894,,1,0,1,0,0,0,1,0,0.2574,0,0,0,0,1
52.14.92.251,55894,150.57.248.121,80,,1,1,0,0,0,1,0,0.2574,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55282,,1,0,1,0.3564,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55282,150.57.172.44,8080,,1,1,0,0,0.3564,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55278,,1,0,1,0.4356,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55278,150.57.172.44,8080,,1,1,0,0,0.4356,1,0,0.0297,0,0,0,1,0,0
150.57.248.121,80,202.225.81.7,3688,,1,0,1,0.1584,0,0,1,0,0.297,0,0,0,0,1
202.225.81.7,3688,150.57.248.121,80,,1,1,0,0,0.1584,1,0,0.297,0,0,0,1,0,0
150.57.248.121,80,52.254.113.47,38916,,1,0,1,0,0,0,1,0,0.1782,0,0,0,0.0099,0.9802
52.254.113.47,38916,150.57.248.121,80,,1,1,0,0,0,1,0,0.1782,0,0,0.0099,0.9802,0,0
150.57.172.44,8080,114.95.167.124,55283,,1,0,1,0.3762,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55283,150.57.172.44,8080,,1,1,0,0,0.3762,1,0,0,0,0,0,1,0,0
172.249.30.182,443,131.142.218.89,54261,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54261,172.249.30.182,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,111.230.217.47,51849,,1,0,1,0,0,0,1,0,0.1584,0,0,0,0,0.9505
111.230.217.47,51849,150.57.248.121,80,,1,1,0,0,0,1,0,0.1584,0,0,0,0.9505,0,0
150.57.248.121,80,115.75.124.166,47174,,1,0,1,0,0,0,1,0,0.1485,0,0,0,0,0.9703
115.75.124.166,47174,150.57.248.121,80,,1,1,0,0,0,1,0,0.1485,0,0.0198,0,0.9703,0,0
150.57.172.44,8080,114.95.167.124,55281,,1,0,1,0.3069,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55281,150.57.172.44,8080,,1,1,0,0,0.3069,1,0,0.0297,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55278,,1,0,1,0.5149,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55278,150.57.172.44,8080,,1,1,0,0,0.5149,1,0,0,0,0,0,1,0,0
150.57.182.64,56409,155.153.54.255,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.153.54.255,80,150.57.182.64,56409,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.172.44,8080,114.95.167.124,55284,,1,0,1,0.5743,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55284,150.57.172.44,8080,,1,1,0,0,0.5743,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,153.187.219.37,38450,,1,0,1,0,0,0,1,0,0.4059,0,0,0,0,0.9703
153.187.219.37,38450,150.57.248.121,80,,1,1,0,0,0,1,0,0.4059,0,0,0,0.9703,0,0
150.57.182.64,56419,155.153.54.255,80,,0,0,0.0099,0,0,0,1,0,1,0,0,0,1,0
155.153.54.255,80,150.57.182.64,56419,,0,0.0099,0,0,0,1,0,1,0,0,1,0,0,0
202.198.44.179,23536,104.120.156.140,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.120.156.140,80,202.198.44.179,23536,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.172.44,8080,114.95.167.124,55301,,1,0,1,0.6139,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55301,150.57.172.44,8080,,1,1,0,0,0.6139,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55279,,1,0.0222,1,0.4356,0,0.0098,0.9902,1,0,0,1,0,0,1
114.95.167.124,55279,150.57.172.44,8080,,1,1,0.0222,0,0.4356,0.9902,0.0098,0,1,0,0,1,1,0
150.57.248.121,80,54.33.56.85,36279,,1,0,1,0,0,0,1,0,0.2079,0,0,0,0,1
54.33.56.85,36279,150.57.248.121,80,,1,1,0,0,0,1,0,0.2079,0,0,0,1,0,0
150.57.248.121,443,59.174.128.9,59412,,0,0,1,0,0,0,1,0,0.0099,0,0,0,0,0.9901
59.174.128.9,59412,150.57.248.121,443,,0,1,0,0,0,1,0,0.0099,0,0,0,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55283,,1,0,1,0.5347,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55283,150.57.172.44,8080,,1,1,0,0,0.5347,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55301,,1,0,1,0.3762,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55301,150.57.172.44,8080,,1,1,0,0,0.3762,1,0,0,0,0,0,1,0,0
